start,end,path,degree
Hildeburh,Homunculus,Hildeburh->Literature->Mimesis->Simulacrum->Homunculus,4
Rob Warner,Homunculus,"Rob Warner->Rob Warner (footballer)->Stratford, London->Chadwell Heath->Frankenstein->Homunculus",5
Ping Zhang,Homunculus,Ping Zhang->Digital object identifier->ISO 259->Golem->Homunculus,4
Khabur River,Homunculus,Khabur River->Khabur (Euphrates)->River->Fractal->Homunculus,4
Binary betting,Homunculus,Binary betting->Gambling->Ummah->Alchemy and chemistry in medieval Islam->Homunculus,4
Chapel Island 5,Homunculus,Chapel Island 5->List of National Historic Sites of Canada in Nova Scotia->British Empire->John Dee->Homunculus,4
The Kaleidoscope Trust,Homunculus,The Kaleidoscope Trust->LGBT->Swinging (sexual practice)->John Dee->Homunculus,4
Sad va Soleyman,Homunculus,Sad va Soleyman->Time zone->Immortality->Elixir of life->Homunculus,4
Wheelchair fencing at the 2012 Summer Paralympics – Men's sabre B,Homunculus,"Wheelchair fencing at the 2012 Summer Paralympics – Men's sabre B->2012 Summer Paralympics->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",4
Maulana Azad College of Arts and Science,Homunculus,Maulana Azad College of Arts and Science->Chemistry->History of chemistry->Homunculus,3
Ariel Shtini,Homunculus,Ariel Shtini->Albanians->Ancient Greek religion->Cyranides->Homunculus,4
2008–09 Los Angeles Clippers season,Homunculus,2008–09 Los Angeles Clippers season->Portland Trail Blazers->Portlandia (TV series)->Swinging (sexual practice)->John Dee->Homunculus,5
KRCK-FM,Homunculus,KRCK-FM->KEZN->Classical music->Pythagoras->John Dee->Homunculus,5
List of people from Lleida,Homunculus,List of people from Lleida->Romanticism->Frankenstein->Homunculus,3
Bioprocess engineering,Homunculus,Bioprocess engineering->Microbiology->Preformationism->Homunculus,3
Claude Louis François Régnier de Guerchy,Homunculus,Claude Louis François Régnier de Guerchy->France->Antoine Lavoisier->History of chemistry->Homunculus,4
Doolgunna,Homunculus,Doolgunna->Gold->Philosopher's stone->Homunculus,3
Mithril,Homunculus,Mithril->The Lord of the Rings: The Return of the King->The Golden Voyage of Sinbad->Homunculus,3
James Bridie,Homunculus,James Bridie->University of Glasgow->Queen Mary University of London->Edgar Adrian->Homunculus,4
Umiasussuk,Homunculus,Umiasussuk->Upernavik Archipelago->Whale->Mandrake->Homunculus,4
St. Enoch Centre,Homunculus,St. Enoch Centre->University of Strathclyde->Frankenstein->Homunculus,3
François Lefebvre de Caumartin,Homunculus,François Lefebvre de Caumartin->Yves Pouliquen->Jean-Luc Marion->Roger Bacon->John Dee->Homunculus,5
Thrianta,Homunculus,Thrianta->Swiss Alps->Swiss literature->Charles Bonnet->Homunculus,4
Baghdad Central Station,Homunculus,Baghdad Central Station->British people->British Empire->John Dee->Homunculus,4
Leonidas Lent Hamline,Homunculus,Leonidas Lent Hamline->John Wesley->Latin->List of Latin words with English derivatives->Homunculus,4
Lockitron,Homunculus,Lockitron->Google Home->Monopoly video games->Runecraft->Shadow of Memories->Homunculus,5
Viveiros,Homunculus,Viveiros->Surname->Heredity->Homunculus,3
"Point Samson, Western Australia",Homunculus,"Point Samson, Western Australia->Division of Durack->Mexico->Maya civilization->John Dee->Homunculus",5
Montreuil-Bellay,Homunculus,Montreuil-Bellay->Bibliothèque nationale de France->Saint-Jacques Tower->Nicolas Flamel->Homunculus,4
Kyrölä railway station,Homunculus,Kyrölä railway station->Swedish language->Swedish realism->Alchemy->Homunculus,4
Trichostichia,Homunculus,Trichostichia->Taxonomy (biology)->History of evolutionary thought->Homunculus,3
Keweenaw National Historical Park,Homunculus,Keweenaw National Historical Park->Copper->Alchemy->Homunculus,3
Garuda Indonesia Flight 150,Homunculus,"Garuda Indonesia Flight 150->Garuda Indonesia->Darwin, Northern Territory->History of evolutionary thought->Homunculus",4
Banki State,Homunculus,Banki State->Thanjavur Maratha kingdom->Mughal Empire->Alchemy and chemistry in medieval Islam->Homunculus,4
Petar Aleksandrov,Homunculus,Petar Aleksandrov->Grasshopper Club Zürich->Austria->Paracelsus->Homunculus,4
Oberkommando der Marine,Homunculus,Oberkommando der Marine->Reichswehr->Stuttgart->Adventure game->Shadow of Memories->Homunculus,5
White Flag (Johns painting),Homunculus,White Flag (Johns painting)->Pop art->Simulacrum->Homunculus,3
Athletics at the 1997 East Asian Games,Homunculus,Athletics at the 1997 East Asian Games->Harumi Hiroyama->London Marathon->Limehouse->John Dee->Homunculus,5
Arne Sandstø,Homunculus,Arne Sandstø->Association football->Goal (sport)->Bad faith->Homunculus,4
Jeff Nicholson,Homunculus,Jeff Nicholson->Caliber Comics->Frankenstein->Homunculus,3
1924 Tulane Green Wave football team,Homunculus,1924 Tulane Green Wave football team->1931 Tulane Green Wave football team->International Standard Book Number->Library->John Dee->Homunculus,5
Nikos Vergos,Homunculus,Nikos Vergos->Rubén Baraja->Surname->Heredity->Homunculus,4
Brish Run,Homunculus,Brish Run->Sandstone->Crystal->Fractal->Homunculus,4
Operation Board Games,Homunculus,Operation Board Games->Rod Blagojevich corruption charges->Federal Bureau of Investigation->Library->John Dee->Homunculus,5
Austin City Hall,Homunculus,"Austin City Hall->Austin City Hall (Austin, Texas)->United States->English overseas possessions->John Dee->Homunculus",5
Kootathil Oruthan,Homunculus,Kootathil Oruthan->Romantic comedy film->Occult detective fiction->Shadow of Memories->Homunculus,4
Valdez High School,Homunculus,Valdez High School->United States->English overseas possessions->John Dee->Homunculus,4
John Kogut,Homunculus,John Kogut->Integrated Authority File->Library->John Dee->Homunculus,4
MSC Armonia,Homunculus,MSC Armonia->Cozumel->Maya civilization->John Dee->Homunculus,4
Good luck charm,Homunculus,Homunculus->Mooncalf->Good luck charm,2
Diplomatic uniform,Homunculus,Diplomatic uniform->Weimar Republic->Éminence grise->John Dee->Homunculus,4
1662 in England,Homunculus,1662 in England->Robert Boyle->Suspicions about the Hidden Realities of the Air->Homunculus,3
